customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST016131,49,Female,North,Secondary,Salaried,391498.19,324323.37,Education,547.26,2,66,37.53,2024-07-08,1
CUST019793,41,Male,West,Graduate,Salaried,640485.49,109019.99,Car,678.7,1,41,52.58,2017-01-16,0
CUST089578,63,Female,East,Primary,Unemployed,846903.42,1555820.92,Business,607.89,1,53,28.2,2024-10-26,0
CUST040164,35,Female,North,Graduate,Self-Employed,307933.12,970100.59,Car,676.7,2,103,71.0,2023-07-13,1
CUST031777,29,Female,South,Post-Graduate,Self-Employed,1174641.5,5935344.97,Education,784.88,0,229,91.46,2022-07-07,0
CUST025331,26,Male,North,Graduate,Self-Employed,312070.35,72069.37,Home,712.51,1,148,30.16,2021-07-15,0
CUST079157,53,Male,West,Secondary,Salaried,291353.22,271515.77,Car,681.63,1,113,7.66,2017-10-24,0
CUST051686,44,Male,South,Secondary,Salaried,543337.34,2585451.99,Other,771.72,1,120,51.15,2024-08-29,0
CUST075499,67,Male,South,Secondary,Salaried,2397995.13,8923699.45,Education,830.68,0,51,57.98,2026-09-02,0
CUST004728,54,Male,South,Secondary,Salaried,375898.97,396113.74,Business,657.69,2,96,60.28,2021-06-17,0
CUST085199,36,Female,North,Post-Graduate,Salaried,322260.66,547994.29,Car,589.79,0,89,52.06,2025-06-24,1
CUST035796,45,Male,East,Graduate,Self-Employed,243120.39,440241.11,Business,732.62,2,125,47.36,2020-04-20,0
CUST012257,36,Other,South,Secondary,Salaried,1208813.0,505768.21,Education,674.38,2,57,30.45,2023-07-26,1
CUST035719,64,Female,West,Post-Graduate,Self-Employed,2174290.99,4047201.4,Home,754.18,3,46,44.97,2026-12-18,0
CUST070552,49,Male,East,Secondary,Salaried,464171.88,5483460.47,Education,629.32,0,98,56.47,2026-05-25,1
CUST054375,42,Other,South,Graduate,Salaried,865717.45,1719395.23,Other,763.73,1,111,31.76,2017-11-08,0
CUST039692,43,Female,West,Post-Graduate,Salaried,472717.38,1558349.31,Other,646.54,2,78,59.39,2017-12-31,1
CUST093703,32,Male,East,Secondary,Salaried,272110.81,73248.87,Home,693.1,1,118,28.83,2023-02-01,1
CUST073692,39,Male,North,Graduate,Salaried,679005.98,483725.49,Car,828.75,2,110,56.83,2025-11-26,0
CUST098071,29,Male,South,Primary,Salaried,1157899.06,6075476.12,Home,690.95,0,159,47.59,2022-04-17,1
CUST000576,61,Male,South,Post-Graduate,Salaried,420347.05,108683.73,Car,668.24,1,99,18.23,2021-03-15,0
CUST084611,41,Male,North,Graduate,Salaried,1319109.54,2150372.49,Car,649.34,2,111,6.61,2023-10-02,1
CUST061770,36,Female,East,Secondary,Unemployed,771901.22,1640238.06,Education,671.16,4,67,44.96,2018-08-04,1
CUST032261,41,Female,East,Secondary,Salaried,129825.54,652746.59,Education,762.43,2,243,48.76,2020-08-26,0
CUST082200,36,Male,North,Graduate,Salaried,335670.58,46462.71,Car,740.17,2,106,25.06,2025-06-19,0
CUST036291,32,Female,West,Graduate,Salaried,472903.61,45744.32,Other,731.06,1,170,31.85,2017-06-29,1
CUST078450,28,Female,East,Secondary,Salaried,377230.27,1183752.96,Education,801.62,1,99,44.56,2018-06-21,0
CUST060056,34,Male,North,Post-Graduate,Self-Employed,647640.43,1167653.55,Car,672.04,1,26,45.2,2025-11-15,0
CUST045949,50,Female,West,Post-Graduate,Unemployed,1271343.73,1950776.95,Other,596.91,1,48,60.38,2024-03-05,0
CUST028178,34,Male,North,Secondary,Salaried,2112361.19,7032073.89,Home,746.24,1,169,56.05,2021-04-18,0
CUST084464,24,Female,West,Graduate,Salaried,1109078.08,2645907.52,Business,666.52,2,139,37.42,2022-02-02,1
CUST000579,40,Female,South,Post-Graduate,Unemployed,1020864.44,4078318.52,Education,555.57,0,70,69.85,2017-01-17,1
CUST030960,53,Male,West,Post-Graduate,Self-Employed,1716250.01,1432659.3,Business,703.68,3,81,78.12,2018-11-26,1
CUST064291,25,Female,South,Graduate,Salaried,1440980.52,3055227.21,Other,732.24,4,125,44.08,2020-10-29,0
CUST014532,65,Female,East,Post-Graduate,Salaried,300660.38,350939.91,Car,815.06,0,68,31.3,2026-04-12,0
CUST017934,30,Male,East,Graduate,Self-Employed,949333.42,1524761.94,Business,679.85,0,92,59.77,2025-07-21,1
CUST033609,34,Male,South,Graduate,Self-Employed,660607.3,2501174.54,Home,602.38,0,117,66.61,2026-12-12,0
CUST049960,38,Male,West,Graduate,Salaried,907788.59,2301678.59,Business,701.07,1,102,22.29,2025-05-12,0
CUST066599,36,Female,East,Graduate,Salaried,544685.16,843302.33,Education,706.61,0,153,34.01,2024-08-23,1
CUST099090,49,Male,North,Graduate,Salaried,493573.09,2017403.1,Education,677.09,2,118,29.58,2020-01-14,0
CUST034452,28,Female,South,Secondary,Self-Employed,268962.57,1086632.71,Car,631.63,1,108,40.05,2020-04-27,1
CUST034081,60,Male,West,Graduate,Salaried,361366.2,610425.13,Business,641.48,1,98,50.63,2026-10-30,0
CUST063588,30,Female,West,Graduate,Salaried,398689.26,1079565.68,Home,715.69,0,84,24.0,2022-11-14,0
CUST004294,57,Male,North,Secondary,Salaried,1153417.75,503995.46,Car,641.89,1,169,29.92,2023-11-05,0
CUST069103,25,Female,East,Secondary,Salaried,668710.62,2323561.01,Car,691.0,0,86,35.53,2022-11-17,0
CUST086412,38,Male,South,Secondary,Self-Employed,157913.58,61980.18,Home,665.52,0,97,71.72,2017-02-15,1
CUST099477,35,Female,West,Graduate,Self-Employed,477297.59,974423.13,Business,582.33,0,213,14.75,2021-06-11,0
CUST053930,45,Male,South,Graduate,Self-Employed,2065534.0,1242169.82,Car,748.95,1,37,58.53,2021-03-26,0
CUST087071,35,Male,West,Secondary,Self-Employed,563881.49,1060042.44,Home,679.81,0,148,17.24,2021-04-28,1
CUST065084,40,Female,South,Graduate,Salaried,446989.35,133479.35,Car,578.92,1,88,54.1,2018-08-18,1
CUST030713,45,Female,South,Post-Graduate,Self-Employed,447723.97,1880211.81,Education,642.19,0,168,77.73,2022-04-14,1
CUST049183,33,Female,West,Graduate,Salaried,585763.64,2235148.04,Home,704.92,1,85,72.1,2018-07-13,0
CUST057235,38,Male,East,Graduate,Unemployed,868651.27,1011291.73,Home,587.43,1,70,58.87,2021-01-10,1
CUST015664,37,Male,South,Post-Graduate,Salaried,284721.83,1043375.06,Business,727.4,1,94,46.11,2018-07-18,0
CUST019967,49,Male,North,Secondary,Self-Employed,479754.55,1514813.27,Business,622.36,1,220,56.26,2020-11-05,0
CUST091913,29,Female,West,Post-Graduate,Self-Employed,620416.47,1710547.15,Home,656.8,2,139,19.39,2017-03-08,0
CUST091958,32,Male,North,Secondary,Self-Employed,428387.15,866910.52,Home,615.88,2,140,37.04,2026-10-13,1
CUST081347,51,Other,South,Graduate,Salaried,705429.84,952576.0,Home,749.33,1,129,60.53,2017-04-17,1
CUST055326,51,Male,North,Graduate,Salaried,336549.58,1214263.3,Education,718.59,1,126,65.07,2022-10-22,1
CUST029858,28,Female,West,Graduate,Salaried,157503.03,65688.99,Car,663.12,3,129,15.66,2025-12-14,1
CUST071223,39,Male,West,Secondary,Self-Employed,1078553.84,1115234.31,Car,638.52,1,29,28.76,2021-12-07,0
CUST052459,36,Male,West,Secondary,Salaried,538403.38,304810.68,Business,704.3,3,61,85.97,2018-05-28,1
CUST088346,33,Male,North,Secondary,Salaried,467521.05,738596.77,Home,700.82,1,75,48.45,2026-01-14,0
CUST082364,35,Male,South,Graduate,Salaried,197623.73,212538.82,Other,652.59,0,94,31.65,2021-10-06,0
CUST065350,41,Male,East,Graduate,Salaried,668240.05,1191795.54,Car,775.08,0,104,47.15,2019-12-21,0
CUST059650,32,Female,South,Graduate,Self-Employed,700594.1,2811586.65,Other,704.57,1,35,47.72,2022-04-22,1
CUST044953,37,Male,South,Graduate,Salaried,1216374.13,3938383.12,Business,542.03,1,57,51.08,2019-04-19,1
CUST039526,25,Male,West,Graduate,Salaried,424267.79,760288.26,Home,688.69,1,49,28.63,2025-03-20,0
CUST013936,32,Other,East,Primary,Self-Employed,1042876.23,2876679.52,Business,625.32,0,65,33.82,2020-04-17,0
CUST093781,39,Female,East,Graduate,Salaried,1471019.54,650173.76,Business,631.97,0,106,22.21,2017-06-06,1
CUST089885,29,Male,South,Secondary,Self-Employed,839526.38,1684409.23,Car,734.28,2,37,19.01,2022-03-24,0
CUST081144,36,Male,South,Post-Graduate,Unemployed,194521.53,95418.99,Home,691.84,1,81,21.69,2021-10-22,1
CUST095800,55,Female,West,Secondary,Salaried,1352363.93,3279792.09,Education,757.02,3,107,16.13,2024-11-14,0
CUST089405,48,Male,East,Post-Graduate,Self-Employed,288134.34,182600.28,Education,634.58,2,64,53.57,2024-09-02,1
CUST055224,45,Female,East,Graduate,Salaried,641694.05,1355648.11,Car,747.75,1,108,36.94,2026-10-05,0
CUST073646,43,Female,East,Graduate,Unemployed,197071.07,938260.67,Car,633.11,0,62,37.82,2020-09-20,1
CUST066294,64,Male,South,Graduate,Self-Employed,908478.46,1143112.58,Other,692.45,3,60,20.32,2019-07-27,0
CUST065540,29,Female,West,Secondary,Self-Employed,1134329.85,883143.22,Other,539.17,0,101,38.52,2023-10-12,1
CUST028111,54,Male,West,Primary,Salaried,678668.48,1142549.88,Business,599.8,2,97,47.68,2025-09-28,1
CUST041929,31,Male,West,Secondary,Salaried,1344108.53,1386772.26,Business,524.22,3,38,5.0,2025-08-29,0
CUST086547,53,Male,West,Graduate,Salaried,806050.05,1459935.6,Business,666.98,2,68,32.53,2025-08-04,1
CUST082586,44,Male,East,Graduate,Unemployed,1772099.32,1795028.09,Home,815.0,0,45,28.58,2022-02-20,0
CUST038604,60,Female,West,Post-Graduate,Salaried,783426.8,3322309.02,Car,833.34,0,125,24.87,2023-03-17,0
CUST091658,46,Male,West,Post-Graduate,Self-Employed,789404.83,1389935.44,Education,620.25,4,116,34.17,2025-03-16,0
CUST062787,60,Male,East,Secondary,Salaried,1685482.54,3538721.0,Home,706.83,2,72,59.95,2017-12-25,0
CUST084341,49,Male,West,Post-Graduate,Salaried,377632.91,820851.46,Education,659.78,0,97,17.35,2026-10-12,1
CUST039875,30,Male,North,Graduate,Salaried,636980.09,1785446.3,Education,713.02,1,125,40.92,2025-04-01,0
CUST078469,29,Male,North,Graduate,Self-Employed,743931.33,1983676.18,Business,722.58,1,89,26.89,2026-07-04,0
CUST031632,54,Female,East,Graduate,Salaried,328846.68,335424.3,Home,733.45,0,124,40.68,2021-06-06,1
CUST014953,51,Female,West,Secondary,Salaried,902583.45,2948547.51,Business,573.05,1,141,48.84,2025-02-10,0
CUST039332,41,Male,East,Secondary,Self-Employed,1326549.91,2186918.16,Other,753.64,2,46,5.69,2023-07-14,0
CUST048588,40,Female,West,Secondary,Self-Employed,681266.14,2258930.23,Other,652.31,1,76,65.82,2023-08-16,1
CUST083595,35,Female,West,Secondary,Salaried,2465158.43,4855921.05,Business,695.06,0,157,38.83,2024-07-13,0
CUST041488,43,Female,North,Secondary,Self-Employed,592393.18,2248368.49,Education,703.42,1,220,37.18,2020-03-29,0
CUST039628,34,Male,East,Post-Graduate,Salaried,691412.29,189919.85,Home,791.1,0,147,20.28,2024-06-07,0
CUST087895,49,Male,West,Secondary,Self-Employed,1305518.41,4526996.56,Education,636.84,1,69,34.48,2022-01-19,1
CUST026304,34,Female,North,Post-Graduate,Salaried,1357505.88,4981751.72,Business,808.13,2,75,59.3,2018-12-08,1
CUST067404,55,Male,South,Graduate,Salaried,363279.41,968733.03,Education,699.07,1,98,49.45,2018-08-31,0
CUST098085,34,Female,West,Graduate,Salaried,1858425.68,3755354.74,Home,731.24,0,55,72.72,2023-12-25,0
CUST095602,56,Other,West,Graduate,Salaried,954714.6,2577981.78,Business,648.46,1,155,52.5,2018-05-24,0
CUST005020,54,Male,South,Secondary,Salaried,459863.49,1343200.39,Home,741.57,0,116,36.0,2026-09-17,0
CUST005224,37,Male,North,Graduate,Salaried,904594.09,1583998.81,Home,644.95,1,112,26.83,2025-08-20,1
CUST015781,29,Female,West,Graduate,Unemployed,296504.05,940299.15,Education,628.51,0,106,42.66,2025-01-20,1
CUST045557,52,Female,North,Graduate,Salaried,2751537.66,5614422.98,Business,677.31,3,205,41.02,2022-02-06,1
CUST012897,41,Female,South,Secondary,Self-Employed,278593.1,497761.95,Car,670.75,2,98,34.29,2023-06-02,0
CUST034305,53,Male,East,Graduate,Unemployed,285606.58,901163.92,Business,615.49,0,150,79.01,2018-06-21,1
CUST093323,55,Male,North,Post-Graduate,Self-Employed,498459.7,890902.9,Car,673.21,1,97,14.21,2023-07-08,0
CUST005325,27,Male,East,Graduate,Salaried,454760.24,1148839.88,Car,640.42,0,128,51.32,2022-07-02,0
CUST052926,43,Male,North,Graduate,Self-Employed,3975198.06,8991088.28,Home,722.47,0,77,64.25,2020-06-13,0
CUST062865,46,Other,East,Secondary,Salaried,576909.49,808633.78,Home,566.02,2,27,26.1,2020-12-29,0
CUST008019,39,Male,West,Graduate,Salaried,1387046.32,4191262.19,Education,668.09,0,81,29.27,2018-07-13,0
CUST082945,32,Female,East,Primary,Salaried,611359.26,212122.94,Business,723.56,2,88,26.34,2021-05-14,0
CUST090377,49,Male,North,Secondary,Salaried,390246.75,862808.8,Business,821.26,1,67,5.12,2024-05-15,0
CUST041721,38,Male,East,Graduate,Salaried,4132499.81,10877831.36,Other,660.16,2,54,39.33,2017-11-22,0
CUST000867,31,Male,East,Post-Graduate,Self-Employed,612688.95,440197.73,Other,639.31,3,75,35.27,2022-10-09,0
CUST098444,33,Female,South,Graduate,Salaried,666542.17,1736749.7,Education,723.27,1,87,60.01,2017-10-14,1
CUST083040,44,Male,West,Graduate,Salaried,353221.68,1623793.89,Home,735.88,1,118,69.6,2019-05-20,0
CUST013925,42,Male,South,Secondary,Salaried,1297237.89,515549.6,Car,698.63,0,126,65.3,2019-01-06,1
CUST079893,37,Female,North,Secondary,Self-Employed,591994.17,2294039.75,Education,613.7,1,52,44.72,2019-05-25,1
CUST031184,38,Female,South,Graduate,Salaried,1412719.15,4662364.26,Car,777.72,1,70,59.17,2018-09-07,0
CUST013800,52,Male,North,Graduate,Salaried,655243.52,1120105.15,Home,714.61,2,81,21.34,2017-03-01,0
CUST040989,34,Male,North,Graduate,Self-Employed,1327726.6,3066595.03,Home,733.52,0,164,57.4,2025-09-11,0
CUST066734,39,Female,North,Graduate,Salaried,307107.52,427270.46,Business,799.33,1,119,45.6,2023-02-27,0
CUST078331,42,Female,West,Graduate,Self-Employed,516654.35,1278091.7,Business,670.2,1,108,53.15,2022-11-04,0
CUST024379,24,Female,East,Secondary,Salaried,652917.67,2494525.74,Car,642.03,1,130,66.02,2018-02-07,0
CUST023415,43,Female,West,Graduate,Salaried,776203.59,726772.54,Car,687.88,2,246,33.97,2023-08-10,0
CUST097560,34,Female,West,Primary,Salaried,358818.34,734919.45,Business,601.25,1,112,44.36,2019-01-16,1
CUST022993,23,Male,North,Graduate,Salaried,419405.02,116851.37,Home,677.27,0,113,66.07,2021-09-06,1
CUST003232,44,Male,South,Secondary,Self-Employed,562371.42,1993921.7,Home,626.86,2,56,70.51,2025-11-29,1
CUST041996,55,Male,North,Secondary,Self-Employed,1148729.63,553495.93,Car,705.07,1,75,36.79,2023-03-31,0
CUST049188,39,Female,West,Graduate,Salaried,664308.12,1476815.39,Business,767.15,0,208,26.37,2022-07-14,0
CUST022515,40,Male,North,Post-Graduate,Self-Employed,922219.59,2983578.26,Car,656.67,2,161,63.37,2017-06-16,0
CUST021326,42,Male,South,Secondary,Salaried,522822.57,2076224.38,Business,696.65,1,159,56.02,2023-03-15,1
CUST086234,46,Female,North,Graduate,Salaried,260695.77,827376.26,Home,779.19,0,187,13.52,2020-04-07,0
CUST088127,42,Male,North,Graduate,Unemployed,1087122.65,990792.03,Education,538.95,0,151,48.9,2021-09-22,1
CUST029824,34,Male,West,Graduate,Salaried,565067.33,730082.09,Education,757.17,1,36,5.0,2021-06-12,0
CUST092485,27,Female,North,Secondary,Salaried,229720.24,1137755.63,Home,584.43,1,92,30.06,2022-09-15,1
CUST068425,31,Male,East,Graduate,Salaried,644735.6,1701582.05,Other,709.54,1,196,33.12,2019-04-28,0
CUST064484,34,Female,South,Post-Graduate,Salaried,2553183.89,4922665.94,Car,633.48,2,154,37.48,2026-02-06,0
CUST051020,42,Female,North,Secondary,Self-Employed,1281555.13,1571710.15,Other,850.0,1,53,15.06,2023-04-08,0
CUST026754,34,Female,South,Graduate,Salaried,550003.64,2348664.18,Business,707.88,1,183,32.87,2026-12-20,0
CUST049964,53,Male,West,Post-Graduate,Salaried,2036423.65,5703431.69,Car,699.83,1,144,24.39,2019-05-02,0
CUST042732,40,Male,West,Graduate,Salaried,1137531.25,3742242.45,Car,590.12,0,195,37.04,2025-01-15,1
CUST029057,43,Male,South,Graduate,Salaried,411512.93,1356187.92,Other,715.29,1,89,21.18,2022-05-17,1
CUST055318,39,Male,North,Post-Graduate,Self-Employed,685833.18,1102812.03,Other,672.9,4,71,28.62,2018-01-23,0
CUST035497,38,Female,South,Post-Graduate,Self-Employed,650132.7,795304.45,Car,700.83,1,205,78.26,2023-02-27,0
CUST056338,32,Female,West,Graduate,Self-Employed,929371.11,1702287.99,Car,673.88,0,81,10.9,2021-09-08,0
CUST079278,32,Male,West,Secondary,Salaried,865834.19,2493252.02,Car,706.81,2,121,79.39,2020-08-22,1
CUST005465,35,Female,South,Graduate,Salaried,485372.8,725180.94,Car,602.87,1,55,35.92,2025-10-01,0
CUST070156,30,Male,North,Secondary,Salaried,1018904.37,2088791.98,Other,734.79,1,147,16.5,2018-05-19,0
CUST070670,51,Male,West,Secondary,Unemployed,585535.5,1376788.24,Car,622.2,3,49,20.46,2021-07-23,1
CUST056014,30,Female,West,Graduate,Salaried,1437816.58,163033.92,Home,560.5,4,98,78.24,2017-06-19,1
CUST012086,35,Male,North,Graduate,Salaried,1354746.41,3802942.47,Business,707.64,0,87,31.21,2018-08-18,0
CUST056819,52,Female,East,Post-Graduate,Salaried,570139.75,1669757.04,Home,632.54,3,49,72.83,2020-03-16,1
CUST020001,48,Male,West,Secondary,Salaried,1649789.12,3905586.8,Education,688.7,0,90,28.06,2024-08-14,0
CUST069067,40,Female,North,Post-Graduate,Salaried,532599.53,744947.69,Education,620.37,0,79,29.36,2018-06-01,0
CUST050453,36,Male,East,Graduate,Salaried,933868.76,2093167.0,Home,718.59,0,186,23.46,2024-04-08,0
CUST090710,29,Female,East,Graduate,Self-Employed,477314.34,1691324.38,Other,694.04,0,121,53.78,2018-09-22,0
CUST052885,50,Male,South,Secondary,Self-Employed,421660.39,146029.03,Car,629.12,0,121,39.73,2025-08-11,0
CUST030964,27,Male,South,Graduate,Self-Employed,401611.96,1103909.57,Business,713.07,6,106,27.12,2020-04-03,1
CUST034574,54,Female,South,Primary,Salaried,248362.83,712991.58,Home,755.83,2,226,55.25,2018-08-27,1
CUST015295,36,Female,West,Secondary,Self-Employed,335727.17,501943.94,Business,702.58,0,115,32.43,2025-07-02,1
CUST027919,49,Female,West,Secondary,Salaried,401457.24,577118.13,Car,655.58,2,89,43.44,2021-04-03,0
CUST046121,50,Male,South,Graduate,Salaried,1257668.73,4033588.27,Education,637.8,1,108,17.89,2024-08-18,1
CUST035074,49,Female,North,Secondary,Unemployed,306165.22,462088.02,Home,605.82,1,118,18.78,2026-10-12,1
CUST010551,39,Female,West,Graduate,Salaried,720112.89,1815547.47,Other,706.91,0,70,19.11,2024-07-23,1
CUST091128,26,Male,North,Graduate,Salaried,1046028.16,2814408.85,Education,793.42,4,63,65.92,2026-06-19,1
CUST000691,36,Female,West,Graduate,Salaried,574806.83,2460172.82,Business,721.52,4,136,47.02,2020-04-25,1
CUST077730,49,Female,East,Graduate,Salaried,1089869.14,875496.65,Car,742.18,3,64,18.1,2017-04-22,0
CUST036097,35,Female,North,Secondary,Salaried,455270.63,1453504.79,Home,715.54,4,140,63.77,2025-04-17,1
CUST065352,39,Male,South,Post-Graduate,Salaried,384518.34,982423.6,Education,692.19,4,54,70.58,2023-01-26,0
CUST011041,43,Female,North,Graduate,Self-Employed,389598.21,1360530.47,Other,639.25,0,207,44.22,2017-11-25,1
CUST004222,44,Male,West,Primary,Salaried,1392089.88,4407177.7,Home,697.7,1,152,40.85,2025-10-22,0
CUST000822,23,Female,North,Graduate,Salaried,1515268.12,1119736.01,Business,617.33,1,197,5.0,2017-12-28,1
CUST038129,51,Male,North,Secondary,Salaried,497686.61,2324690.35,Other,709.16,2,71,75.75,2018-01-06,1
CUST089152,34,Male,West,Graduate,Unemployed,1241241.37,2179038.49,Car,519.67,1,45,19.89,2022-09-10,1
CUST029232,39,Male,South,Secondary,Salaried,635161.33,1649143.87,Car,705.13,3,159,41.07,2022-05-27,1
CUST050557,50,Male,East,Primary,Salaried,1154426.28,1241477.0,Home,712.74,0,230,39.24,2023-01-10,0
CUST033685,49,Male,South,Post-Graduate,Self-Employed,389388.16,97251.04,Other,674.41,1,70,8.97,2018-10-05,0
CUST058754,62,Female,West,Primary,Salaried,382521.17,1358716.35,Car,595.88,0,72,70.91,2017-05-30,1
CUST027023,35,Female,North,Graduate,Salaried,643145.65,47288.34,Home,755.32,0,67,23.0,2017-12-29,0
CUST036906,45,Male,South,Graduate,Salaried,743773.74,227880.99,Education,736.67,1,194,23.0,2024-07-29,0
CUST000271,52,Male,North,Secondary,Salaried,538891.32,949259.91,Education,685.24,0,96,25.64,2018-04-12,1
CUST008867,38,Male,North,Secondary,Salaried,335924.12,211466.39,Business,676.18,6,147,32.35,2017-06-05,1
CUST015007,34,Male,South,Primary,Self-Employed,216095.01,832501.47,Car,677.05,1,181,43.41,2017-01-30,1
CUST004689,42,Male,North,Secondary,Self-Employed,640508.52,442238.54,Business,725.62,0,59,43.6,2023-06-27,0
CUST081996,44,Female,East,Graduate,Self-Employed,460683.03,1197612.56,Car,558.22,1,231,45.5,2026-05-23,1
CUST084373,29,Female,South,Graduate,Salaried,2658676.95,11457590.98,Other,647.73,0,143,28.57,2017-11-13,0
CUST002515,45,Female,North,Primary,Salaried,447608.32,699657.04,Car,661.65,1,98,55.77,2025-12-31,0
CUST036400,47,Female,South,Graduate,Salaried,910644.72,1426656.78,Education,645.92,0,103,6.45,2020-05-21,1
CUST038869,54,Female,West,Secondary,Self-Employed,1403236.1,1954368.5,Business,699.74,2,126,20.7,2019-01-04,0
CUST058245,31,Female,West,Graduate,Self-Employed,836362.69,2975825.78,Business,700.56,2,151,71.26,2025-10-10,1
CUST030410,43,Male,North,Primary,Salaried,385965.98,1486151.63,Car,594.98,1,99,54.99,2024-02-08,1
CUST054795,40,Male,West,Post-Graduate,Salaried,912017.16,3384257.65,Other,758.84,4,274,29.46,2026-02-20,1
CUST019264,31,Male,West,Post-Graduate,Unemployed,573622.75,1438771.64,Education,761.57,2,135,73.58,2018-05-03,1
CUST083910,40,Female,West,Post-Graduate,Salaried,2957549.41,12054686.7,Other,652.84,0,141,64.86,2017-12-07,1
